app_id,name,release_date,is_free,developer,publisher,owners_range,price
3300,Bejeweled 2 Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","50,000 .. 100,000",4.99
3302,Bejeweled 2 Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3310,Chuzzle Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","100,000 .. 200,000",4.99
3312,Chuzzle Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3320,Insaniquarium Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","500,000 .. 1,000,000",4.99
3322,Insaniquarium Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3330,Zuma Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","500,000 .. 1,000,000",4.99
3332,Zuma Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3340,AstroPop Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc.","50,000 .. 100,000",4.99
3342,AstroPop Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3350,Bejeweled Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","50,000 .. 100,000",4.99
3352,Bejeweled Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3360,Big Money! Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc.","50,000 .. 100,000",4.99
3362,Big Money! Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3380,Dynomite Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc.","50,000 .. 100,000",4.99
3382,Dynomite Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3390,Feeding Frenzy 2 Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","100,000 .. 200,000",4.99
3392,Feeding Frenzy 2 Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3400,Hammer Heads Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc.","20,000 .. 50,000",0.0
3410,Heavy Weapon Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc.","50,000 .. 100,000",4.99
3412,Heavy Weapon Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3420,Iggle Pop Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc.","20,000 .. 50,000",4.99
3422,Iggle Pop Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3430,Pizza Frenzy Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc.","50,000 .. 100,000",4.99
3432,Pizza Frenzy Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3450,Typer Shark! Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc.","50,000 .. 100,000",4.99
3452,Typer Shark! Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3460,Talismania Deluxe,2006-08-30,0,"PopCap Games, Inc.","PopCap Games, Inc.","20,000 .. 50,000",4.99
3462,Talismania Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3480,Peggle Deluxe,2007-03-06,0,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","500,000 .. 1,000,000",4.99
3482,Peggle Deluxe Free Demo,N,1,"PopCap Games, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3483,Peggle Extreme,2007-09-11,1,"PopCap Games, Inc.",Electronic Arts,"200,000 .. 500,000",0.0
3490,Venice Deluxe,2007-06-25,0,"Retro64, Inc.","PopCap Games, Inc.","0 .. 20,000",0.0
3500,Mystery P.I.™ - The Lottery Ticket,2007-10-16,0,SpinTop Games,"PopCap Games, Inc.","20,000 .. 50,000",4.99
3502,Mystery P.I.™ - The Lottery Ticket Free Demo,N,1,SpinTop Games,"PopCap Games, Inc.","0 .. 20,000",0.0
3510,Amazing Adventures The Lost Tomb™,2007-12-13,0,SpinTop Games,Disney,"20,000 .. 50,000",4.99
